record_label_low,occurrences,record_label_major
Pushstart Wagon,1,Independent
Pushkash,1,Independent
Coffey Global LLC,1,Independent
Cohouse Music,1,Independent
Purple Stains,1,Independent
Purple Tape Pedigree,1,Independent
Purple Tracks,1,Universal Music Group
Purple Tulips,1,Independent
Purple Visions Records,1,Warner Records
Purple Yard,1,Independent
Purplehaus Records LLC,1,Universal Music Group
Purples,1,Universal Music Group
Purpose Life Music Group,1,Universal Music Group
Purr Records,1,Independent
Puscifer Entertainment,1,Independent
Push,1,Warner Records
Push 2 Music,1,Universal Music Group
Cog Communications,1,Warner Records
Push Management,1,Universal Music Group
Coffy Entertainment,1,Sony Music Entertainment
Coffmann Records,1,Independent
"Push/Pull Records, RojStock Entertainment",1,Independent
Pusher Digitalis,1,Independent
Coffin #4 Records,1,Independent
Pyramid Music - Erotic Lounge,1,Warner Records
Pyramid Music - Film Hits,1,Independent
Pyramid Music - Fresh,1,Warner Records
Code Name,1,Independent
Q&L,1,Sony Music Entertainment
Code 5 Entertainment,1,Warner Records
Code 46 Recordings,1,Independent
Coda Productions,1,Independent
Q-Demented,1,Universal Music Group
Cod and Chips,1,Independent
Q-Records,1,Independent
Q-Vo Records,1,Independent
Cocoon Music,1,Independent
Coconut Cluster,1,Independent
Coconut Beats,1,Warner Records
Q.Z.B,1,Independent
Q2 Records,1,Independent
Cocobambu Records,1,Universal Music Group
QASAMAMA,1,Independent
QBR Music,1,Independent
QCI Records,1,Independent
Coco Méliès,1,Universal Music Group
Coco Musical Inc.,1,Independent
QFTRY,1,Independent
QG Productions,1,Independent
Pınar Ayhan - BaHa Müzik,1,Independent
Code One,1,Independent
Pyramid Music - Global Chill,1,Universal Music Group
Pájaro Rojo,1,Independent
Pyramid Music - Lounge,1,Independent
Codi Jordan,1,Independent
Pyramid Music - Tributes,1,Sony Music Entertainment
Codfish Wisp,1,Independent
Pyramid Theorem,1,Independent
Codfish Records,1,Independent
Codeine Fein Entertainment,1,Independent
Coded Recordings,1,Independent
Pyrates Royale Shipping and Salvage Company,1,Independent
Pyrates!,1,Independent
Coded Platform,1,Independent
Codec,1,Independent
Pyro Records,1,Warner Records
"Pyro, Ohio",1,Sony Music Entertainment
Pyrosome Records,1,Independent
Pyrroline,1,Independent
Code Silence,1,Independent
Code Red Recordings,1,Independent
PØRTS,1,Independent
Pádraig Rynne,1,Independent
Code Records,1,Independent
Coin Op. Studios,1,Independent
CoinTossrecords,1,Independent
Purple Posse / Positive Squad Records,1,Warner Records
Punk Rock Social,1,Independent
Punkcore Records,1,Independent
Punker Pages,1,Independent
Coldfear,1,Independent
Coldbrew,1,Independent
Cold_Sunny_Days,1,Independent
Punny Rico Corporation,1,Independent
ColdHeartedMuzic,1,Independent
Punto Final Grupo Norteno,1,Universal Music Group
Pupkin Records,1,Warner Records
Cold Wrecks,1,Independent
Cold World Hustlers Records,1,Independent
Pura / Discos Crack,1,Independent
Pure Car TraXX,1,Universal Music Group
Pure Class Music,1,Universal Music Group
Pure Colors,1,Independent
Pure Groove Ltd t/a Locked On,1,Universal Music Group
Cold World,1,Warner Records
Pure Heart Dirty Mind Records,1,Independent
Pure Joy Records,1,Independent
Cold Transmission Music,1,Independent
Pure Michigan and Assemble Sound,1,Independent
Coldkings,1,Independent
Cole Park Records,1,Universal Music Group
Pure Music Label Group,1,Sony Music Entertainment
Punk Rock Of Gibraltar,1,Independent
Collage,1,Independent
Collab Asia Music,1,Independent
Pump House Music,1,Universal Music Group
Colinda,1,Independent
Colinas Music,1,Independent
Pumped Ltd.,1,Independent
Pumpin' UK Records,1,Sony Music Entertainment
Colin Tyler,1,Sony Music Entertainment
Pumpkin Records,1,Independent
Colin Currie Records,1,Independent
Colin Addison,1,Independent
Punch the Unicorn,1,Independent
Colima Records,1,Independent
Puniko Records,1,Independent
Punisher souls,1,Independent
Colfax Rock,1,Independent
Colfax Music Ltd,1,Independent
Coletivo Digital,1,Universal Music Group
Punk Junk,1,Independent
Coleridgian Records,1,Independent
Colecreations,1,Independent
Pure Mint Recordings,1,Independent
Pure Music Productions - PMGJA,1,Independent
Coki Vilche,1,Independent
Purified Music,1,Universal Music Group
Cold Fame Records,1,Independent
Purl,1,Independent
Purling Hiss,1,Independent
Puro Instinct,1,Independent
Cold Country Music,1,Independent
Puro Records / Canada,1,Independent
Puro Records/ Rare Earth Tones/ CANADA,1,Independent
Puro Sax VIP Music,1,Independent
PuroBomb,1,Independent
Cold Cold Ground,1,Independent
Cold Coffee Music Limited,1,Sony Music Entertainment
Cold Classic Records,1,Independent
Purple Bubbles,1,Independent
Purple City,1,Independent
Purple Eye Entertainment,1,Warner Records
Cold Blue Mountain,1,Independent
Purple Hexagon Records,1,Independent
Purple Maze,1,Warner Records
Cola Bruin,1,Warner Records
Purple Moves,1,Warner Records
ColBreakz,1,Independent
Puritan,1,Independent
Cold Fusion Records,1,Independent
Pure Music inc.,1,Sony Music Entertainment
Purgatory Productions,1,Independent
Cold Tonic,1,Sony Music Entertainment
Pure Perception Records,1,Universal Music Group
Cold Smoke Records,1,Independent
Pure Recordings,1,Independent
Pure Rock Records,1,Sony Music Entertainment
Cold River Records,1,Independent
Pure Shores Music,1,Universal Music Group
Pure Silk,1,Sony Music Entertainment
Pure Sonik Records,1,Independent
Cold Pressed,1,Independent
Pure Tapes,1,Warner Records
Cold Insanity Music,1,Sony Music Entertainment
Pure Worship Creative Group,1,Independent
Pure and Simple Music,1,Universal Music Group
Pure-Massive Records,1,Universal Music Group
Cold Harvest Trust,1,Universal Music Group
Puregold Records,1,Independent
Purelaxation Vibes,1,Independent
Puresprings Gospel/Ino/Epic,1,Sony Music Entertainment
Cold Harbour,1,Independent
Purgatory Hill,1,Universal Music Group
Coco Machete,1,Universal Music Group
QM Records,1,Independent
QQ5,1,Independent
Clubstream Pink,1,Independent
Quid Records,1,Universal Music Group
Clubscene Records,1,Independent
Quiet Corral,1,Independent
Clubplanet / INgrooves,1,Independent
Quiet Design Records,1,Independent
Quiet Eyes Records,1,Independent
Clube Pensamento e Poder,1,Independent
Quiet Moments Record,1,Independent
ClubMixed,1,Warner Records
ClubLAB,1,Independent
Club99,1,Independent
Quiet One Recordings,1,Independent
Quiet Place Music,1,Independent
"Quiet Power Productions, LLC",1,Independent
Club. Recordings,1,Independent
Club Weapons,1,Independent
Club Tuppence,1,Independent
Club Soda Records,1,Independent
Quiet/Loud Records,1,Independent
Club Social / Canada Editorial / Esta Pasando Entertainment S.L,1,Independent
Quiff,1,Universal Music Group
Clubstream Orange,1,Independent
Quicksilver Daydream,1,Warner Records
Quin Records,1,Independent
Quickdraw Homegrown Music,1,Independent
Clyde Frog,1,Independent
Quench Entertainment Group,1,Universal Music Group
Quente,1,Independent
Quentin Hannappe,1,Independent
Clyde Boudreaux,1,Independent
Clvb de Pesca Records,1,Independent
Quenzon,1,Independent
Quercia,1,Independent
Querstand,1,Sony Music Entertainment
Quesh Records,1,Independent
Quest Music Uk Ltd,1,Sony Music Entertainment
Clumber Records,1,Independent
Quest Pistols Show,1,Independent
Clueless Kit,1,Independent
Question Of Time Digital,1,Independent
"Questionable Entertainment, LLC",1,Universal Music Group
Questz World,1,Independent
Queue Records,1,Universal Music Group
Quez Dog GRP,1,Independent
Qufrd Records,1,Independent
Clubvolution,1,Independent
Quill Equipped Records,1,Sony Music Entertainment
Quina Creu Musica,1,Independent
Clyde Lawrence,1,Warner Records
Club Carousel,1,Independent
Qziz,1,Independent
Qÿko,1,Independent
R & S Records,1,Universal Music Group
Club Beat Fascination,1,Universal Music Group
Club Aerobics,1,Universal Music Group
Club 86 Recordings,1,Independent
R&F Creative Consulting,1,Independent
R&J Records,1,Sony Music Entertainment
Club 2723,1,Independent
Club 227,1,Independent
R&R DIgital,1,Independent
R&R Digital/Warner Records,1,Warner Records
R&S Music,1,Universal Music Group
Clown Jewels,1,Independent
R-A-R,1,Universal Music Group
Clown,1,Warner Records
R-Time Records,1,Independent
R-i-c / YBR,1,Independent
R-music,1,Independent
R.,1,Universal Music Group
R.A.I.G.,1,Universal Music Group
Qworkz,1,Independent
Qween Beat,1,Independent
Club Rhodes Music,1,Independent
Qushy,1,Independent
Quindecim Recordings,1,Independent
Quinn Christopherson,1,Independent
Quintal Prod,1,Independent
Quintenza,1,Independent
Quintero,1,Universal Music Group
Quintessence music,1,Independent
Club Náutico,1,Independent
Quintetto Inflagranti,1,Independent
Quire Cleveland,1,Independent
"Club Louisianne, Inc",1,Independent
Club Inégales,1,Independent
Quit Yr Job Records,1,Warner Records
Quite Force Records,1,Warner Records
Club GK,1,Independent
Club Fresh Mixtapes,1,Sony Music Entertainment
Quito Rymer,1,Independent
Quixote R.P.M. / Dora Dorovich,1,Independent
Quixotic Music/EHP/Syzygy,1,Independent
Quiñ,1,Independent
Club Djembe,1,Independent
Club Danger,1,Warner Records
Quelle Rox,1,Independent
Queijo Elétrico,1,Independent
Cocktails and Jazz Productions,1,Independent
Quadraphonic,1,Independent
Quadraro Basement SRL,1,Independent
Quadrasonic,1,Sony Music Entertainment
Cobi,1,Independent
Quadrilles,1,Independent
Quaint Records,1,Independent
Quake,1,Independent
Cobalt Road,1,Independent
Cobalt Music - Helladisc S.A.,1,Universal Music Group
Cobalt Lane Records,1,Independent
Cobalt 60,1,Independent
Coastlands,1,Independent
Coaster Records,1,Universal Music Group
Coastal Sounds,1,Independent
Coastal Access Music,1,Warner Records
Coast To Coast Records,1,Sony Music Entertainment
Qualität’er Music,1,Independent
Quang Dung,1,Independent
Coast Road Records,1,Independent
"Quango Music Group, Inc",1,Independent
Coast Company,1,Universal Music Group
Quantanium Records / RMG,1,Independent
Quadraro Basement,1,Sony Music Entertainment
Quablab Productions Inc.,1,Independent
Quanticman Records,1,Independent
QsensX,1,Independent
Cocktail Music Recording,1,Independent
QS,1,Independent
QS Music,1,Independent
QTV,1,Independent
QTZLCTL,1,Independent
Cockaroo Entertainment,1,Independent
Cockamamie Jamie,1,Independent
QUILOMBOARTE,1,Independent
QUINN,1,Universal Music Group
QWAZAR,1,Independent
Qabecity Records,1,Independent
Qalander,1,Independent
Qbit Records,1,Universal Music Group
Qhol,1,Independent
Cock Pitch Records,1,Independent
Coby Sey,1,Sony Music Entertainment
Cobwebz,1,Independent
Cobson,1,Independent
Qq Studio Ostrava,1,Independent
Cobrayama & Gibbz,1,Independent
Qruz,1,Independent
Quanteisha,1,Independent
Quantize Loops,1,Independent
Queer Sounds & Violent Noises,1,Warner Records
QuatroSoundz,1,Independent
CoEL LLC,1,Independent
CoCoSun LTD.,1,Independent
CoCo Art,1,Universal Music Group
Quebra Galho Pro,1,Independent
Quebrada Queer,1,Independent
Quebrando Records,1,Independent
Queen Alaska,1,Independent
Queen Bee Entertainment; IRS South Records,1,Universal Music Group
Co:Star,1,Warner Records
Co2 Music,1,Independent
Queen Diva Music LLC,1,Sony Music Entertainment
Queen Kwong,1,Independent
Cntrl/Tek,1,Independent
Cnopes & mlotik,1,Independent
Cmmp,1,Independent
Queen's Room,1,Independent
Queenkings,1,Independent
Queens ST/ Def Jam PS,1,Universal Music Group
Queens of Bubblegum,1,Warner Records
Queenside,1,Independent
Queent,1,Independent
Quay And Compass,1,Universal Music Group
Quatro Vision,1,Independent
Quantize Recordings,1,Universal Music Group
Quasarphoenix,1,Independent
Quantsound Records,1,Independent
Quantum Era Ent.,1,Sony Music Entertainment
Quantum Flood,1,Independent
Quantum Noise,1,Independent
Coast 2 Coast Records,1,Warner Records
Quarter Museum,1,Independent
Quarter Shack,1,Independent
Coalition Entertainment,1,Warner Records
QuarterZip,1,Independent
Quarterback Entertainment,1,Warner Records
Quartered,1,Independent
Coal Shed Records,1,Independent
Coal Diamond Trio,1,Universal Music Group
Quarteto em Cy,1,Sony Music Entertainment
Quartette,1,Independent
Coagency Records,1,Independent
Quartrail Tucker,1,Independent
Quartz Hill Records,1,Independent
Coadjust Records,1,Independent
Quartz Rec,1,Independent
Quartzbed,1,Independent
Pulverised,1,Independent
Pulsschlag Music,1,Independent
Rattle Clack,1,Warner Records
Profil Medien GmbH Edition Günter Hänssler,1,Independent
Produktivmusik,1,Independent
Produlam,1,Independent
Concrete Umbrella Records,1,Independent
Concrete Recordings,1,Independent
Produtora Ciel / Roc Nation Records,1,Independent
Concrete Music Records,1,Independent
Proevent Music,1,Independent
Concrete Head Entertainment,1,Universal Music Group
Concrete Beats,1,Independent
Profil Medien,1,Independent
Concore Entertainment,1,Sony Music Entertainment
Pulso 70,1,Independent
Profile Pictures Music,1,Universal Music Group
Profimusic,1,Independent
Profite Production,1,Independent
Conco Digital,1,Independent
Profunk,1,Independent
Profur,1,Independent
Prog Box Digital,1,Independent
Prog Rock Records,1,Independent
Concertone,1,Independent
ProgHippie.com,1,Independent
Concê,1,Independent
Productores Independientes / Riera / SGPE,1,Independent
Condate Records,1,Independent
Productions du Konténèr,1,Independent
Producciones Astrid Hadad,1,Independent
Producciones Bravo,1,Universal Music Group
Producciones De La Costa,1,Sony Music Entertainment
Producciones Fonograficas Jasper,1,Independent
Producciones Guaqueros C.A,1,Sony Music Entertainment
Producciones Malditas,1,Sony Music Entertainment
Producciones SRV,1,Independent
Producciones TGK,1,Independent
Producciones UNO,1,Warner Records
Conducta,1,Independent
Conditions Records,1,Independent
Conditions LLC,1,Warner Records
Conditioner,1,Independent
Productions J Inc.,1,Independent
Productions LS Music,1,Warner Records
Productions Mathieu Langevin,1,Independent
Productions Musicales France-Etoile,1,Independent
"Productions New York, LLC",1,Warner Records
Productions SP,1,Independent
Productions Tribal,1,Independent
Productions Véronique Labbé,1,Independent
ConcertHouse Music,1,Independent
Progman Records,1,Independent
Program Resocjazlizacji &quot;Przywróć Ich Społeczeństwu&quot; Przy Wsparciu Funduszy Unijnych,1,Independent
Project56,1,Universal Music Group
Projection Records,1,Independent
Comptroller,1,Independent
Projekt Phantomschmerz,1,Independent
Comptoir des mélodies,1,Universal Music Group
Comprovise,1,Independent
Projekta Music,1,Warner Records
Projekts,1,Universal Music Group
Projet Calmant,1,Independent
Projeto Entrelace,1,Independent
Projeto Rivera,1,Independent
Projeto Unknown,1,Independent
Prolapse,1,Warner Records
Composed Recordings,1,Independent
Proliferate Music,1,Independent
Comport Records,1,Universal Music Group
Complus Music Group / Under Julio Sosa,1,Independent
Prolifix,1,Independent
Promesa,1,Independent
Compliance Records,1,Warner Records
Complexed Records,1,Independent
Complex Records,1,Independent
Projectile Music,1,Independent
Project Smyl Record,1,Independent
Concert Studio | Raspberry Records,1,Independent
Project SmyL,1,Independent
Concern,1,Independent
Progression Music Group,1,Independent
"Concentration, Sound Therapy, Memory, Study Aid",1,Independent
Progressive Psytrance 100,1,Independent
Progrock Records,1,Independent
Prohibited records,1,Independent
Conant Gardens,1,Independent
Conaha Entertainment,1,Independent
Con Bro Chill,1,Independent
Project Acedis,1,Independent
Con Artist,1,Universal Music Group
Project Bongo,1,Universal Music Group
Comtat Venaissin Records,1,Independent
Project Groundation Massive,1,Sony Music Entertainment
Project Infinite,1,Independent
Project K,1,Independent
Project Lionheart,1,Independent
Project One Digital,1,Independent
Comsmoplante Music Group,1,Independent
Project Red Thread,1,Independent
Computer Love Records,1,Warner Records
Conexión Musical,1,Independent
Conexión Tierra,1,Sony Music Entertainment
Prodotto di Superti,1,Independent
Consolidated Vibes,1,Independent
Prison,1,Independent
ConsciousThoughts,1,Independent
Conscious TV Ltd,1,Warner Records
Conscious Riddims,1,Independent
Conscious Production,1,Warner Records
Private Altar Records,1,Independent
Conscious Minds For Righteous Revolution,1,Sony Music Entertainment
Private Club Records.,1,Warner Records
"Conscious Media Group, LLC.",1,Independent
Conscious Living Entertainment,1,Sony Music Entertainment
Private Garden Records,1,Universal Music Group
Private Garden Records.,1,Universal Music Group
Conscious Collective,1,Independent
Private Label Studios,1,Sony Music Entertainment
Private Life Records,1,Warner Records
Conroy Music,1,Independent
Private Records Digital,1,Independent
Private School Works LLC/Medor Music Group,1,Independent
Private World,1,Universal Music Group
Conor Walsh Music,1,Independent
Prize Fighter Records,1,Sony Music Entertainment
Consolidated Artists Productions,1,Independent
"Priscilla Ahn, Inga Roberts & Wendy Wang",1,Independent
Pro Audio & Maldita-Jakeca,1,Independent
Conspiracy Records 51,1,Independent
Primrose Forever Sanctuary & Korey Dane,1,Independent
Primrose Music,1,Independent
Primula records,1,Independent
Construct,1,Sony Music Entertainment
Prince Fox Music,1,Warner Records
Constera,1,Independent
Prince Records,1,Independent
Princekayone GmbH,1,Independent
Princes of Babylon,1,Independent
Constantino Music,1,Independent
Princess Goes To The Butterfly Museum,1,Independent
Princess Lover Music,1,Independent
Princesse Angine,1,Independent
Principez De La Musica Norteña,1,Independent
Principium Records,1,Independent
Principle & Prosper,1,Independent
Constant Clip,1,Independent
Constant Circles,1,Independent
Conspirator,1,Independent
Conspirare,1,Independent
Prior Records,1,Independent
Pro & Ak AB,1,Universal Music Group
Pro Era Records,1,Independent
Prodigy2017,1,Sony Music Entertainment
Conisby Music,1,Independent
Problem Patterns,1,Independent
Conic Records,1,Independent
Conhecerei Digital,1,Independent
Congrats!,1,Warner Records
Probloo Banga,1,Independent
Probst Audio,1,Independent
Congo Natty Bass,1,Universal Music Group
Conglomerado DSE,1,Independent
Processional Cross,1,Universal Music Group
Confusing Paradise,1,Universal Music Group
Confused Disciples,1,Independent
Conflicting Harmony,1,Warner Records
Procrastination Records,1,Independent
Confido,1,Independent
Confidential Records,1,Independent
Confidential Crocodile,1,Sony Music Entertainment
Prodigal,1,Independent
Prodigal Entertainment,1,Sony Music Entertainment
Prodigy,1,Sony Music Entertainment
"Prodigy Entertainment, Ltd.",1,Independent
Prodigy Pictures,1,Independent
Problem Child Recordings,1,Independent
Probablyworse Records,1,Independent
Conor Matthews,1,Independent
"ProSound Music, LLC obo EK Ltd.",1,Independent
Pro Fit Entertainment,1,Independent
Pro Logic Music,1,Independent
Pro One Music,1,Independent
Connor Spiotto,1,Independent
Pro Piano Records,1,Independent
Connibal Road,1,Independent
Connessione Recordings,1,Independent
Pro Studio Library,1,Independent
Pro Voce Humana,1,Universal Music Group
Pro con Records,1,Universal Music Group
Pro&Ak HB,1,Independent
Pro-Am,1,Sony Music Entertainment
Connector Records,1,Universal Music Group
Pro-Mix,1,Universal Music Group
Pro-Zak Trax,1,Warner Records
Conkrete Digital Music,1,Independent
ProClassica,1,Independent
Conjunto Son San Oficial,1,Independent
ProSound Music LLC,1,Sony Music Entertainment
Conjunction Entertainment Inc.,1,Independent
"ProSound Music, LLC obo Backtrack Professionals",1,Independent
Promid Music,1,Universal Music Group
Promise Game Productions,1,Independent
Promised Land,1,Independent
Colour & Shade,1,Sony Music Entertainment
Psycho DeVito,1,Independent
Colossus of Rhodes,1,Independent
Psycho John Records,1,Independent
Colossus Tapes,1,Universal Music Group
Colosseum Thesis,1,Independent
ColossalGrind,1,Independent
Psychobabblemusic/Universal,1,Universal Music Group
Colornoise,1,Independent
Psychodrama Music Group,1,Independent
Colorfeels,1,Universal Music Group
Colorblind,1,Universal Music Group
Psychoteddy Records,1,Independent
Psychotic Minds,1,Independent
Coloraimé,1,Independent
Colorado Mountain Goat / Cockroach Media,1,Warner Records
ColorFire,1,Independent
Color Study,1,Independent
Color Stampede,1,Independent
Color Noise Music,1,Independent
Color Me Valiant,1,Independent
Color Compilation,1,Sony Music Entertainment
Psycho Crooks,1,Sony Music Entertainment
Psycho Boogie,1,Universal Music Group
Color Blind Music,1,Sony Music Entertainment
Psycho 44,1,Sony Music Entertainment
Psrabelle,1,Independent
Columbia/Red Ink/The Console,1,Sony Music Entertainment
Columbia/RCA,1,Sony Music Entertainment
PsyTrance Masters Top 100 Hits 2015,1,Universal Music Group
PsyWorld Records,1,Independent
Psybertribe Records,1,Independent
Psych Lake City Records/Lolipop Records/Max Pain and the Groovies/Eager Waves,1,Independent
Columbia Records/Interscope Records,1,Sony Music Entertainment
Psyche Corporation,1,Independent
Columbia Records,1,Sony Music Entertainment
Columbia Mills,1,Sony Music Entertainment
Psychedelic Psychopaths,1,Universal Music Group
Columbia / sony-bmg,1,Sony Music Entertainment
Psychedelic Witchcraft,1,Independent
Colourwaves,1,Sony Music Entertainment
Colourtone Records,1,Independent
Colourshop,1,Independent
Psychic Arm,1,Independent
Colourfield,1,Universal Music Group
Psychik Genocide Remix / Audiogenic,1,Independent
Colour In Music,1,Universal Music Group
Psynina USA,1,Independent
Colonne Records,1,Independent
Columbo Sounds,1,Universal Music Group
Pucci Records,1,Independent
Puerto Rico Salsa Fest,1,Independent
Collections,1,Independent
Collecting Records OMP,1,Independent
Pugtunes.com/OLE,1,Independent
Collectif Toujours,1,Universal Music Group
Collectible Escalators,1,Independent
Collected Recordings,1,Independent
Pull My Strings/GMM,1,Universal Music Group
Collectables Records Corp.,1,Warner Records
Pullahs,1,Independent
Pulled Back Publishing,1,Independent
Pulp Records,1,Universal Music Group
"Colle Der Fomento, Kaos One & Dj Argento",1,Independent
Pulpa Distro,1,Independent
Pulsar Music,1,Independent
Collaptic,1,Independent
Pulsar Records,1,Independent
Collapsing Records,1,Independent
Collapsed Lung,1,Independent
Pulseraiser,1,Independent
Pulsewith Records,1,Independent
Pudding-Tv,1,Independent
Pubside Down,1,Independent
Psysex Music,1,Independent
Collector's Choice,1,Independent
Psystein,1,Independent
Psytrance Network,1,Independent
Psytrance Radio,1,Independent
Pterodactyl Plains,1,Independent
Pub Records,1,Independent
Colonel Records,1,Universal Music Group
Pubcrawler Publishing,1,Independent
Colobus,1,Independent
Colmusica s.a.s.,1,Independent
Colmillo Norteño,1,Independent
Public Eye Records,1,Universal Music Group
Colman,1,Independent
Collosia,1,Independent
Collison Music Limited,1,Universal Music Group
Collision Music,1,Universal Music Group
Public Media/ Gutta Baby Ent,1,Universal Music Group
Collings Productions,1,Sony Music Entertainment
Colligence Records,1,Independent
Public Theatre,1,Independent
Public-Peace Music Productions,1,Independent
Collectors Club Records 2017,1,Independent
Pso Thug,1,Independent
Colyer,1,Independent
Promises Betrayed,1,Universal Music Group
Proper Partnered,1,Independent
Proper Vibes Records,1,Independent
Property Music Group,1,Warner Records
CompII,1,Independent
Prophase Music,1,Independent
Comodoro,1,Independent
Community Music School,1,Independent
Prophet Posse/Scarfo,1,Sony Music Entertainment
Communion Group Ltd,1,Independent
Commonwealth,1,Independent
Prose and Cons,1,Warner Records
"Common, Dear",1,Universal Music Group
Prospect 21,1,Universal Music Group
Common Shiner,1,Independent
Common Sense Records,1,Independent
Prospection Records,1,Warner Records
Prosperous Enterprises,1,Sony Music Entertainment
Prostate Cancer UK,1,Independent
Common Records,1,Universal Music Group
Common Exchange,1,Independent
Common Deer,1,Independent
Common Crooks,1,Universal Music Group
Compacto Records,1,Warner Records
Compactonez Records,1,Independent
Protasis Music,1,Universal Music Group
Propelr Music / Cake,1,Warner Records
Promo FM,1,Independent
Complete Control,1,Independent
Promofile,1,Independent
Promore,1,Independent
Complete Brainwave Therapy System,1,Independent
Promoting Sounds,1,Independent
Promotion Music Specialties,1,Sony Music Entertainment
Compilations Only,1,Universal Music Group
"Compilation of Speech of Arrested Development, STB, Malone",1,Independent
"Compilation of Speech of Arrested Development, Michelle Malone,",1,Universal Music Group
Compilation Music Records USA,1,Warner Records
Compilation,1,Independent
Compañía de Música de Cuba,1,Independent
Propaganda Records Ltd,1,Universal Music Group
Compass & Knife Music,1,Warner Records
Propain Records,1,Warner Records
Propeller,1,Independent
Companion Arts / Wisdom of the World,1,Independent
Compagnie du Tire-Laine,1,Independent
Propellers Music,1,Independent
Compagnie Cornelius,1,Independent
Common Children,1,Independent
Protect Audio,1,Independent
Com D pro,1,Sony Music Entertainment
Come&Live! Records,1,Independent
Prowse,1,Independent
Come On Live Long,1,Sony Music Entertainment
Proyecto Quasar,1,Independent
ProyectoPandamonium,1,Independent
Come Alive,1,Universal Music Group
Combustion World Industries,1,Independent
Prussia,1,Independent
Comboi Records,1,Independent
ComboTempo,1,Independent
Pruzhino,1,Independent
Prxject Mayhem,1,Independent
Pry,1,Independent
Combine Audio,1,Independent
Prymal Music LLC,1,Independent
Präsens Editionen,1,Independent
Combien Mille Records - Grand Musique Management,1,Independent
Comanche Records,1,Independent
Coma SNTH,1,Independent
Pseudo Media,1,Sony Music Entertainment
Pseudo Recordings,1,Independent
Pseudocool Records,1,Independent
Come on Die Young Rec,1,Sony Music Entertainment
Comeha Records,1,Independent
Commendante / Plugged,1,Independent
Provocative Traxx,1,Warner Records
Proto Beat Records,1,Warner Records
Commend See,1,Universal Music Group
Commandeur,1,Independent
Commander Records,1,Independent
Proton Radio,1,Independent
Proton Records / Peanut Butter limited,1,Independent
Command6,1,Independent
Comité Inc,1,Independent
Comisar Music,1,Universal Music Group
Coming soon,1,Independent
Coming in Second,1,Universal Music Group
Comin Tru Records,1,Universal Music Group
Comfy Towers Music Services Ltd.,1,Independent
Comfort Zone Tunes,1,Independent
Prove It Music,1,Sony Music Entertainment
Proverbs Records,1,Universal Music Group
Providencia Music,1,Independent
Provident Label Group/MBK Entertainment/RCA Records,1,Sony Music Entertainment
Comeuppance,1,Independent
Comet Records BKK,1,Independent
Comerciantes de Música,1,Independent
R.A.R.,1,Universal Music Group
Cloverdale Music,1,Independent
R.C. Ames,1,Warner Records
Ragz 2 Richez Entertainment,1,Independent
Raging Planet/Miss Lava,1,Independent
Raging Productions,1,Independent
CiP,1,Independent
Ragnar Seaholm,1,Independent
Ragni Music,1,Independent
Chynna x Oklou,1,Independent
Rags & Mia LLC,1,Independent
Rags & Ribbons,1,Independent
Chxrlotte,1,Independent
Ragtop Records,1,Universal Music Group
Rah Boy Music,1,Sony Music Entertainment
R.E.A.L Records,1,Universal Music Group
Chve,1,Independent
Rah-C Music,1,Universal Music Group
Chuxx Morris,1,Independent
Rahn Harper & Ellusive,1,Independent
Rai Trade,1,Independent
Raid Records,1,Universal Music Group
RaidTheWoodShed,1,Independent
Raider Rock Records LLC,1,Independent
Raighes Factory,1,Independent
Railbenders,1,Independent
Ciancia Management/Iris Records/Capsaicin Music,1,Independent
Ciara,1,Universal Music Group
Raging Dreams,1,Universal Music Group
Ciara Camacho,1,Independent
Cihat Akbel,1,Sony Music Entertainment
Rag Rag,1,Independent
Rag Squad Music,1,Warner Records
Cigarettes for Breakfast,1,Independent
RagaRanga®,1,Independent
Ragaprong,1,Independent
Ciervo Astral,1,Independent
Rage City Records,1,Sony Music Entertainment
Rage For All Label / Blast Work Records,1,Sony Music Entertainment
Rage House Records,1,Sony Music Entertainment
Cidade Dormitório,1,Independent
Cici Porter,1,Warner Records
Cicada,1,Independent
Ciaran Wright,1,Independent
Rage Zero,1,Universal Music Group
Raggatonic,1,Independent
Raggo Recordings,1,Independent
Ciara O'Neill,1,Universal Music Group
Ragigrooves,1,Independent
Ciara Lyne Ford,1,Universal Music Group
Ciara Considine,1,Independent
Railbird,1,Independent
Railjaw Records,1,Independent
Raimei RECORDS.,1,Independent
Rainbow Kate,1,Independent
Rainbow Morning Music / Barry Louis Polisar,1,Independent
Rainbow Movie Unlimited,1,Independent
Rainbow Productions (Sussex) Ltd.,1,Independent
Chronoscope,1,Independent
Chronograph Records / Fontana North,1,Independent
Rainbow Room,1,Independent
Rainbow Songs Inc.,1,Independent
Raincheck,1,Independent
Raincoe Music,1,Independent
Raindayz Music,1,Independent
Rainded,1,Independent
Raindrop Melodies,1,Warner Records
Raindrop Records,1,Warner Records
Rainer + Grimm,1,Universal Music Group
Rainer Michelson,1,Independent
Chronic,1,Universal Music Group
Chromodyne,1,Independent
Rainheart Productions,1,Independent
Chromium Music Group,1,Independent
"Chromeo Recordings, Inc.",1,Warner Records
Chrome Model Records,1,Independent
Rainbow Life Music,1,Universal Music Group
Rainbow Girls,1,Independent
Church of Girl Records,1,Independent
Rainbow Country,1,Independent
